Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.7515762925598991,0.8007380073800738,0.8298279158699808,0.8150234741784037
Logistic Regression,0.742749054224464,0.7773913043478261,0.8546845124282982,0.8142076502732241
KNN,0.7263556116015133,0.776173285198556,0.8221797323135756,0.7985143918291551
Decision Tree,0.6683480453972257,0.7452830188679245,0.7552581261950286,0.7502374169040835
